Column1,Column2,Column2_1,Column3,Column4,Column5
Backup_Emissions,10.228385090314429,10.228385090314429,10.228385090314429,10.228385090314429,10.228385090314429
MA_Diesel_Gen,0.0,0.0,0.0,0.0,0.0
MA_Biodiesel_Gen,0.0,0.0,0.0,0.0,0.0
MA_Methanol_FC,0.0,0.0,0.0,0.0,0.0
MA_Hydrogen_FC,0.0,0.0,0.0,0.0,0.0
MA_Ammonia_Gen,2.194537267,2.194537267,2.194537267,2.194537267,2.194537267
MA_Primary_Al_Air_BESS,0.0,0.0,0.0,0.0,0.0
MA_Secondary_Li_Ion_BESS,0.0,0.0,0.0,0.0,0.0
MA_Secondary_Iron_Air_BESS,0.0,0.0,0.0,0.0,0.0
MA_solar_pv,0.0,0.0,0.0,0.0,0.0
MA_electricity_load_shifting,0.0,0.0,0.0,0.0,0.0
Total,2.194537267,2.194537267,2.194537267,2.194537267,2.194537267
cTotal,185504.78315066345,185504.92365231036,185505.34515725108,185506.04766548562,185507.45268195463
purchase_penalty,1.0,2.0,5.0,10.0,20.0
