Capacity_Constraint,Capacity_Constraint_Dual
0.0,0.0
0.0014285714285714286,1477.1232846710063
0.002857142857142857,1477.1232846710122
0.004285714285714286,1477.1232846710127
0.005714285714285714,1477.123284671009
0.007142857142857143,1477.12328467101
0.008571428571428572,1477.1232846710127
0.01,650.2661566820248
0.011428571428571429,626.5105756603818
0.012857142857142857,626.5105756603784
0.014285714285714285,468.4463090561785
0.015714285714285715,468.4463090561858
0.017142857142857144,468.44630905619215
0.018571428571428572,468.4463090562017
0.02,-0.0
